id;alert_type;latitude;longitude;created_at
1;HURRICANE;8876.1;22865;2025-04-23T01:48:40
2;TORNADO;24411.96;30371.07;2025-04-23T00:53:27
3;HURRICANE;16785.54;1079.52;2025-04-23T07:23:22
4;TSUNAMI;11182.7;7004.11;2025-04-23T13:28:06
5;FIRE;16601.24;5842.12;2025-04-23T20:47:09
6;TORNADO;19822.05;30364.36;2025-04-23T07:38:34
7;FIRE;12607.11;3850.58;2025-04-23T08:41:45
8;TSUNAMI;7408.42;4635.53;2025-04-23T15:05:28
9;HURRICANE;20960.79;19198.84;2025-04-23T11:41:13
10;FIRE;12879.27;17576.92;2025-04-23T16:33:04
