id;hash;jhi_from;jhi_to;amount;fee;status;gas_price;gas_limit;gas_used;block_number;created_at
1;segregate;twin;airbus severe masculinize;19694.93;3508.48;PENDING;15376.49;30425.32;12742.67;29402;2025-04-23T03:46:53
2;meaningfully cheap scrape;per black-and-white healthily;seal;30453.87;25938.35;PENDING;29203.98;17308.11;18009.58;12330;2025-04-23T07:05:01
3;down truthfully neck;advanced because optimistically;oh reproachfully;29577.38;13521.94;FAILED;5025.89;25620.87;23354.67;31143;2025-04-23T01:50:45
4;pfft atop representation;personal orange for;brief toady;8484.57;21365.87;CONFIRMED;820.96;25069.76;4296.08;8195;2025-04-22T22:07:32
5;yuck;longingly what ick;often dreamily if;28243.55;3024.42;PENDING;26410.1;28643.58;8477.77;15305;2025-04-23T11:05:11
6;before profitable of;meh;seemingly;10814.11;8695.7;PENDING;21429.77;11766.02;16428.51;32706;2025-04-23T08:28:07
7;wildly amidst favorable;mmm bustling;ack;27906.11;4866.83;FAILED;27809.85;2918.23;3797;15134;2025-04-23T19:25:45
8;boo place now;cutover tuber while;mmm who;951.5;31115.45;CONFIRMED;29119.2;32427.37;6476.92;16401;2025-04-23T00:39:11
9;discourse;over;wherever;30554.3;30453.53;FAILED;31787.46;11061.05;22911.03;13917;2025-04-23T00:54:51
10;atop plus outflank;whenever intensely;brr but till;16588.68;20793.9;FAILED;10557.85;19196.69;3358.4;31896;2025-04-23T19:46:29
