id;name;country;contact_email;access_level;status;latitude;longitude
1;mortally scarcely;Western Sahara;how whereas drat;9;pry pish yuck;28698.19;3564.57
2;between notwithstanding;Saint Lucia;hydrolyze;2;circumference king stabilise;18719.53;2303.89
3;hexagon;Cameroon;but publicity;1;finally;28706.67;23678.58
4;colorize;Bangladesh;curiously;7;healthily from lazily;22791.95;10183.38
5;dramatize among red;Samoa;versus tinderbox;2;whoever aside interestingly;370.01;13422.21
6;armchair gulp;Christmas Island;yearningly;7;councilman know;20950.87;25996.05
7;major beside so;Cambodia;whoa hard-to-find extremely;10;commodity generally;15770.5;4928.1
8;federate;Virgin Islands, U.S.;alligator victoriously unwilling;7;pish inwardly potentially;11115.49;18009.27
9;bah;Myanmar;unsung;9;after;24141.1;31009.32
10;brief;Dominican Republic;apropos quickly hmph;4;furthermore;26702.36;11407.4
