id;name;launch_date;status
1;shrilly portray corner;2025-04-23T12:20:06;OPERATIONAL
2;glimmer moor;2025-04-23T18:26:37;MAINTENANCE
3;desk till bar;2025-04-23T04:10:48;LAUNCHED
4;divert foot anxiously;2025-04-23T06:31:18;LAUNCHED
5;yum ack cop-out;2025-04-23T20:09:23;DECOMMISSIONED
6;towards foot impact;2025-04-23T16:45:00;OPERATIONAL
7;happily puppet minus;2025-04-23T03:56:54;LAUNCHED
8;anti up naturally;2025-04-23T08:29:42;DECOMMISSIONED
9;mmm uh-huh yawningly;2025-04-23T09:46:44;DECOMMISSIONED
10;instead alongside;2025-04-23T18:47:46;OPERATIONAL
