id;name;manufacturer;weight;dimensions;power_capacity;expected_lifespan;design_trajectory_prediction_factor;launch_mass;dry_mass
1;yesterday;soft;11587.97;likewise;28086.47;29427;26195.81;13639.77;32579.66
2;yellowish athwart;yuck seriously;20965.53;geez;7525.28;30454;8526.61;30352.43;18849.91
3;so interestingly mid;help;29313.89;yum favorite huzzah;27841.79;6788;30967.01;9491.98;31486.17
4;psst;unless;23535.76;task afterwards;12092.72;809;24294.93;19162.37;25823.33
5;mystify eek;circa;10744.01;premeditation;12064.25;31789;22103.65;18594.05;23919.88
6;reporter;tinted;9893.97;why well;17697.94;13011;6867.39;631.41;402.08
7;exactly;venture;21975.7;whose;25008.91;31195;4275.36;32142.63;18757.91
8;uh-huh;inasmuch once hydrolyse;12707.11;aw for contravene;18371.27;32560;23959.94;17548.56;30159.77
9;since gah meanwhile;brandish the besides;11411.62;though clamp delightfully;21065.35;1195;7396.63;14801.99;27860.77
10;remark;suffice impassioned narrow;26250.29;furthermore;24564.38;1018;5087.95;4628.67;11245.11
